chpt_game_concepts,1. Game Concepts,,
sec_concepts_general,1.1. General,,
sec_concepts_general-snippet,These rules are compatible with cards from the game {term:android: netrunner} by Fantasy Flight Games. {term:android: netrunner} is a game about the cyber-struggle between massive Corporations and subversive hackers known as Runners.,,
rule_player_definitions,1.1.1. The game is played between two players. One player takes the role of the Corp (Corporation) and the other takes the role of the Runner. This rules document will frequently refer to a player interchangeably with their game role.,,
rule_requirements,"1.1.2. Each player needs a legal deck, an identity card for their role, and any extra cards used from outside their deck. They also need a supply of tokens as described in {ref:sec_counters_and_tokens}. The constraints that define the legality of a deck are defined in {ref:sec_deck_construction}, and the cases where cards outside the deck and identity can be used are defined in {ref:sec_extra_cards}.",,
rule_game_numbers,"1.1.3. All numbers used in the game are integers. Unless otherwise stated, a given value can be positive, negative, or zero.",,
sec_golden_rules,1.2. Golden Rules,,
rule_card_precedence,"1.2.1. If the text of a card directly contradicts these rules, the text of the card takes precedence.",,
rule_cannot_precedence,"1.2.2. If a rule or ability directs something to happen, but another effect states that it cannot happen, the ""cannot"" ability takes precedence.",,
rule_if_able,"1.2.3. If an instruction includes the words ""if able,"" it can only be carried out fully or not at all. If any part of the instruction is not possible to carry out, the entire instruction is ignored.",,
rule_do_as_much_as_you_can,"1.2.4. If an instruction does not include the words ""if able,"" as much of that instruction as possible is carried out. Any parts of the instruction that are not possible to carry out are ignored.",,
sec_symbols,1.3. Symbols,,
rule_symbols,1.3.1. Several non-English symbols appear on cards and in this rules document. This section serves as a basic guide to those symbols.,,
rule_symbol_credits,"1.3.2. The symbol [c] (plaintext: {curly:c}) stands for ""credit"". It always appears with a quantity, such as 1[c], which means ""one credit,"" or 3[c], which means ""three credits."" See {ref:sec_credits} for rules about credits.",,
rule_symbol_clicks,"1.3.3. The symbol [click] (plaintext: {curly:click}) stands for ""click"". Multiple clicks can be represented either by multiple symbols, such as [click][click], or by a numeral and symbol, such as 2[click], both meaning ""two clicks."" See {ref:sec_clicks} for rules about clicks.",,
rule_symbol_recurring,"1.3.4. The symbol [recurring] (plaintext: {curly:recurring}) stands for recurring credit. It always appears with a quantity, such as 1[recurring], which means ""one recurring credit,"" or 3[recurring], which means ""three recurring credits."" See {ref:rule_sec_recurring} for rules about recurring credits.",,
rule_symbol_link,"1.3.5. The symbol [link] (plaintext: {curly:link}) stands for ""link"". It is always used with a quantity, such as 1[link], which means ""1 link."" See {ref:sec_link} for rules about link.",,
rule_symbol_mu,"1.3.6. The symbol [MU] (plaintext: {curly:MU}) stands for ""memory"" and also represents the unit used to measure memory. When used with a quantity, it should be read as ""memory units"". For example, 2[MU] means ""2 memory units."" See {ref:sec_memory} for rules about memory.",,
rule_symbol_sub,"1.3.7. The symbol [sub] (plaintext: {curly:sub}) stands for ""subroutine"". Each symbol marks a single subroutine on a piece of ice. See {ref:sec_subroutines} for information about subroutines.",,
rule_symbol_trash,"1.3.8. The symbol [trash] (plaintext: {curly:trash}) stands for ""trash this card"". It is used as a self-referential cost in card text, such as ""[trash]: Draw 2 cards,"" which means ""Trash this card to draw 2 cards."" See {ref:sec_costs} for rules about costs, and {ref:sec_trashing} for rules about trashing cards.",,
rule_symbol_interrupt,"1.3.9. The symbol [interrupt] (plaintext: {curly:interrupt}) stands for ""interrupt timing"". It is used to designate abilities that resolve immediately before other abilities. See {ref:sec_interrupts_replacements} for rules about interrupt abilities.",,
sec_deck_construction,1.4. Deck Construction,,
rule_identity,"1.4.1. Each player's deck is associated with a single identity card that determines the faction, minimum deck size, and influence limit of that deck. The identity card may also stipulate other variances from the standard deckbuilding rules.",,
rule_gateway_identities,1.4.1.a. The identities {card:The Catalyst} and {card:The Syndicate} from the {product:System Gateway Starter Pack} are intended for use only with the decks included in that pack. They are not legal for play under the full deck construction rules.,,
rule_legal_deck,1.4.2. Each deck must meet all requirements in this section to be legal for play.,,
rule_minimum_deck_size,1.4.3. The deck must contain at least as many cards as the minimum deck size indicated on the corresponding identity.,,
rule_outside_the_deck,"1.4.3.a. Identity cards, extra cards that begin the game outside the deck, and player aid cards are not part of the deck and are not counted towards the size of the deck.",,
rule_maximum_deck_size,1.4.3.b. There is no maximum deck size.,,
rule_disallowed_cards,"1.4.4. Decks cannot contain identity cards, player aid cards, cards from the wrong side (Corp cards in a Runner deck or vice-versa), or out-of-faction cards that lack influence costs.",,
rule_influence_limit,1.4.5. Neutral cards and cards that belong to a faction other than the corresponding identity's faction are all considered out-of-faction. The total influence cost of out-of-faction cards in the deck must not exceed the influence limit of that identity.,,
rule_influence_by_copy,1.4.5.a. The total influence cost of out-of-faction cards is counted by copy and not by name.,,
rule_influence_by_copy-1-example,"Including a single copy of {card:Diesel} in a non-Shaper deck adds 2 to the total influence in that deck, while including two copies of {card:Diesel} in a non-Shaper deck adds 4 to the total influence in that deck.",,
rule_agenda_points,"1.4.6. A Corp deck must contain agendas totalling a certain number of agenda points, as determined by the total number of cards in the deck.",,
rule_40_44,1.4.6.a. A deck with 40 to 44 cards must contain 18 or 19 agenda points.,,
rule_45_49,1.4.6.b. A deck with 45 to 49 cards must contain 20 or 21 agenda points.,,
rule_50_54,1.4.6.c. A deck with 50 to 54 cards must contain 22 or 23 agenda points.,,
rule_54+,"1.4.6.d. A deck with more than 54 cards must contain 22 or 23 agenda points, plus an additional 2 agenda points for every full 5 cards in the deck over 50.",,
rule_54+-1-example,"A 66 card deck requires 6 additional agenda points, since it includes 3 sets of 5 cards beyond 50. This gives a final requirement of either 28 or 29 agenda points.",,
rule_maximum_copies,"1.4.7. The deck cannot contain more than 3 copies of any single card, by name. Some cards stipulate alternative copy limits in their card text.",,
rule_special_tournament_rules,1.4.8. Tournament play may impose other restrictions or requirements on the legal configurations of identities and decks.,,
sec_extra_cards,1.5. Extra Cards,,
rule_outside_deck,1.5.1. Some abilities allow for the use of additional cards from outside the deck.,,
rule_jinteki_biotech,"1.5.2. One Corp identity, {card:Jinteki Biotech: Life Imagined}, has the ability, ""Before taking your first turn, you may switch this card with any copy of Jinteki Biotech."" There are 3 versions of this identity, which have different abilities on their reverse side.",,
rule_jinteki_biotech_detail,"1.5.2.a. A player playing Jinteki Biotech as their identity may bring any number of copies of that identity along with their deck. After completing game setup, that player may choose any copy they own to be their active identity for the duration of the game. All other copies are placed outside the game.",,
rule_adam,"1.5.3. One Runner identity, {card:Adam: Compulsive Hacker}, has the ability, ""You start the game with 3 different {subtype:directive} cards installed (these cards are not considered part of your deck).""",,
rule_adam_different_directives,1.5.3.a. A player playing Adam as their identity must bring at least 3 differently named cards with the {subtype:directive} subtype along with their deck. The player may bring any number of {subtype:directive} cards over the required 3.,,
rule_adam_directives_install,"1.5.3.b. After players reveal their identities, the player playing Adam selects exactly 3 of their provided {subtype:directive} cards. Those cards begin the game installed in the play area. All other {subtype:directives} the player brought this way remain outside the game.",,
rule_adam_directives_deck,1.5.3.c. A player playing Adam can also include {subtype:directive} cards in their deck. The cards chosen to be installed at the beginning of the game do not impact the deck's influence requirements or the maximum allowed number of copies of those cards.,,
rule_adam_directives_during_game,"1.5.3.d. Once the game has begun, the cards installed this way are treated exactly as any other installed cards. Abilities that move these cards to other zones function normally, including shuffling them into the stack.",,
rule_additional_identity,"1.5.4. Two cards, {card:Rebirth} and {card:DJ Fenris}, make use of identity cards other than the one selected by the player during deck construction.",,
rule_additional_identities_pile,1.5.4.a. A player may bring any number of additional Runner identity cards along with their deck. These cards are kept in a pile outside the game. The Runner may look at these cards at any time.,,
rule_additional_identities_reference,"1.5.4.b. When an ability refers to an identity other than the Runner's current identity, it refers to the cards provided this way. If an identity card leaves the play area, it must be returned to the pile outside the game.",,
rule_legal_additional_identities,"1.5.4.c. In a tournament, all identities brought to the game this way must be legal for players to use as their actual identity in that tournament.",,
rule_additional_identity_double_sided,"1.5.4.d. If the Runner switches their identity with a double-sided identity, it enters play with the front side faceup. If the Runner switches a double-sided identity with another identity, the new identity enters play faceup regardless of the previous identity's current status.",,
sec_starting_the_game,1.6. Starting the Game,,
rule_player_roles,"1.6.1. The players decide who will play as the Corp and who will play as the Runner. Each player places an appropriate identity card for the side they are to play faceup in the play area, then supplies a corresponding deck, placing it facedown in the play area, and any appropriate extra cards.",,
rule_setup_identity,"1.6.1.a. Some identity cards have abilities that affect setup. Even though cards are not active until the game begins, these identities still alter setup at the appropriate step as indicated by their text.",,
rule_double_sided_identity,"1.6.1.b. Some identities are double-sided (see {ref:sec_identities}). If a player is playing a double-sided identity, it begins the game with the front side faceup.",,
rule_setup_abilities,"1.6.2. If a player's identity has an ability that affects setup or the start of the game, and that ability does not directly correspond to a setup step outlined in this section of the rules, that player makes any necessary decisions and changes for their identity's special setup or start of game abilities at this time. If both players have setup or start of game abilities at this time, the Corp resolves theirs first.",,
rule_start_tokens,1.6.3. The players create the bank by gathering all types of tokens described in {ref:sec_counters_and_tokens}.,,
rule_start_credits,"1.6.4. Each player takes five credits from the bank, placing the credits in their credit pool.",,
rule_start_shuffle,1.6.5. Each player shuffles their deck.,,
rule_start_hand,1.6.6. Each player draws 5 cards from the top of their deck to form their starting hand.,,
rule_mulligan,"1.6.6.a. After drawing starting hands, the Corp may choose to take a mulligan; then, the Runner may choose to take a mulligan. To take a mulligan, the player shuffles their starting hand back into their deck, then draws a new starting hand. They must keep the second hand as their starting hand.",,
rule_start_corp_turn,1.6.7. The game begins and the Corp takes their first turn.,,
rule_before_first_turn,"1.6.7.a. If the Corp's identity has an ability with instructions for ""before taking your first turn,"" the Corp resolves that ability immediately before taking their first turn, and thus before the game starts.",,
sec_ending_the_game,1.7. Ending the Game,,
rule_game_end,1.7.1. The game ends when a player meets one of their win conditions.,,
rule_simultaneous_win,"1.7.1.a. If both players would simultaneously satisfy their win conditions, the game ends in a draw.",,
rule_win_conditions,1.7.2. Each player has two possible win conditions available.,,
rule_win_agenda_points,1.7.2.a. Either player can win by collecting agenda points in their score area (usually done by scoring or stealing agendas; see {ref:sec_score_scoring_steal}). A player with a score of 7 or more wins the game.,,
rule_flatline,"1.7.2.b. The Corp wins if the Runner is {term:flatlined}. The Runner is flatlined immediately if they suffer more damage than they have cards in their grip. See {ref:sec_damage} for information about damage. The Runner is also flatlined if, at the beginning of their discard step, their maximum hand size is less than 0. See {ref:sec_discard_phase} for information about maximum hand size and the discard step.",,
rule_empty_rnd,1.7.2.c. The Runner wins if the Corp is required to draw a card from R&D but cannot because R&D is empty.,,
sec_cards,1.8. Cards,,
rule_corp_card_types,"1.8.1. There are six types of Corp cards: agendas, assets, ice, identities, operations, and upgrades. All cards except the identity card are shuffled into the Corp's deck at the beginning of the game.",,
rule_runner_card_types,"1.8.2. There are five types of Runner cards: events, hardware, identities, programs, and resources. All cards except the identity card are shuffled into the Runner's deck at the beginning of the game.",,
rule_active_cards,1.8.3. Cards that are {term:active} are able to affect the game through their abilities.,,
rule_default_active_card_locations,"1.8.3.a. Runner cards that are installed and faceup in the play area, Corp cards that are installed and rezzed, events and operations in the play area, agendas in the Corp's score area, and both players' identities are active.",,
rule_runner_become_active,"1.8.3.b. Unless otherwise stated, Runner cards become active as part of the process of playing or installing them.",,
rule_corp_become_active,"1.8.3.c. Unless otherwise stated, Corp cards other than operations are installed unrezzed, and thus inactive, into the play area. Assets, ice, and upgrades become active when they are rezzed; agendas become active when they are scored. Operations become active as part of the process of playing them.",,
rule_identity_become_active,1.8.3.d. Identity cards become active when the game begins.,,
rule_inactive_cards,1.8.4. Cards that are {term:inactive} are unable to affect the game or have most of their abilities used.,,
rule_default_inactive_card_locations,"1.8.4.a. Cards are inactive in R&D, HQ, Archives, the heap, the grip, the stack, the Runner's score area, while set aside, and while removed from the game. Facedown cards in the play area are also inactive.",,
rule_inactive_cards_characteristics,"1.8.4.b. Inactive cards in most zones retain their printed characteristics (name, card type, faction, cost, subtypes, influence, etc). Facedown installed Runner cards have no characteristics.",,
rule_card_draw,1.8.5. For a player to {term:draw} 1 or more cards is to take that many cards from the top of their deck and put them into their hand. {ref:Sec_drawing_cards} provides more details about drawing cards.,,
rule_inactive_ability_exception_link,1.8.6. Most abilities are active if and only if the card they appear on is active. {ref:Rule_ability_active_inactive_source_card} details the cases where abilities on inactive cards are still active.,,
rule_card_conversion,"1.8.7. Abilities can convert cards from one type into another type, or even from a card into a counter. {ref:Rule_add_card_to_score_area,rule_card_to_counter} explain the details of card conversion.",,
sec_counters_and_tokens,1.9. Counters and Tokens,,
rule_counters_cards,"1.9.1. {term:Counters} and {term:tokens} are game pieces (or equivalent) that track various resources, effects, and statuses of players and their cards.",,
rule_counter_token,"1.9.1.a. The terms ""counter"" and ""token"" are interchangeable.",,
rule_bank,1.9.2. The {term:bank} is the supply of counters not yet in play. Counters in the bank are available to both players to take and use as dictated by the game rules and card abilities. Players do not control counters in the bank and cannot spend them. The bank is an unlimited supply; running out of game pieces to track a type of counter does not prohibit a player from gaining counters of that type or placing them on cards.,,
rule_bank_default,"1.9.2.a. If an instruction directs players to place counters on a card without designating where those counters come from, take those counters from the bank.",,
rule_counters_placed_condition,1.9.2.b. A condition or restriction that looks for counters being placed on a card can be met by either counters from the bank or counters moved from another location.,,
rule_card_conversion_game_piece,1.9.3. Some abilities can convert a card into a counter. A counter put into play in this way is tracked with the card acting as a game piece. See {ref:rule_card_to_counter}.,,
rule_additional_counters,"1.9.4. Some abilities can cause a player or card to have or be ""considered to have"" 1 or more counters or additional counters without placing or giving those counters. A counter considered to exist in this way conveys all the same information and effects as a counter of the specified type would, except that it cannot be moved or removed from the card or player it belongs to, nor can it be spent to pay a cost.",,
rule_counter_types,"1.9.5. There are ten types of counters: credit counters, click counters, tag counters, bad publicity counters, core damage counters, advancement counters, virus counters, power counters, agenda counters, and condition counters.",,
rule_type_credit_counter,"1.9.5.a. {term:Credit counters} are used to track the number of credits each player has in their credit pool; they can also be placed on cards. Rules for credits, the credit pool, and other related concepts are in {ref:sec_credits}.",,
rule_type_click_counter,1.9.5.b. {term:Click counters} are a gameplay aid used to track the clicks the active player has spent or has left to spend during their turn. Rules for clicks are in {ref:sec_clicks}.,,
rule_type_tag_counter,1.9.5.c. {term:Tag counters} are used to represent tags on the Runner. Rules for tags are given in {ref:sec_tags}.,,
rule_type_bad_pub_counter,1.9.5.d. {term:Bad publicity counters} represent bad publicity the Corp has earned. Rules for bad publicity are in {ref:sec_bad_publicity}.,,
rule_type_core_damage_counter,1.9.5.e. {term:Core damage counters} are a gameplay aid used to track core damage the Runner has suffered. Each point of core damage the Runner suffers forces them to take a core damage counter. See {ref:sec_damage}.,,
rule_type_advancement_counter,1.9.5.f. {term:Advancement counters} are a counter used primarily on installed agendas to track the Corp's progress toward being able to score them.,,
rule_type_virus_counter,"1.9.5.g. {term:Virus counters} are a generic counter, used primarily by {subtype:virus} programs, that can be removed by the Corp purging them. See {ref:rule_purge}.",,
rule_type_power_counter,1.9.5.h. {term:Power counters} are a generic counter used by a variety of cards. They have no special rules.,,
rule_type_agenda_counter,1.9.5.i. {term:Agenda counters} are a generic counter used primarily on scored agendas. They have no special rules.,,
rule_type_condition_counter,1.9.5.j. {term:Condition counters} are counters that have rules text. Their abilities are active as long as they are hosted on a card.,,
sec_credits,1.10. Credits,,
sec_credits-snippet,"Each of the Runner's credits represents enough money to upgrade some basic parts for their console, have a meal at a decent restaurant, or buy a ticket and some concessions for a night at the sensies.
Each of the Corp's credits represents enough money to manufacture a run of computer parts, buy out a decent restaurant, or film a low-budget sensie.
",,
rule_credit,"1.10.1. A {term:credit} ([c]) is the basic unit of currency. Players spend their credits to pay for various costs, card abilities, traces, etc. Credit counters most commonly represent 1[c] each, but can represent larger denominations if clearly marked.",,
rule_credit_pool,1.10.2. Each player has a {term:credit pool} where they keep a supply of credit counters matching the credits they have available to spend. The number of credits in a player's credit pool is open information.,,
rule_gain_spend_lose_credits,"1.10.3. Credits enter and leave a player's credit pool as that player gains, loses, or spends credits.",,
rule_gain_credits,1.10.3.a. A player {term:gains} credits whenever credits enter their credit pool from any location.,,
rule_lose_credits,"1.10.3.b. If a player is required to {term:lose} credits, that player is forced to move the specified number of credits from their credit pool to the bank. Players cannot lose credits from cards.",,
rule_lose_credits-1-example,"If a subroutine on {card:DNA Tracker} resolves, the Runner must lose 2[c] from their credit pool, or 1[c] if that is all they have. If the Runner's credit pool is empty, the effect does nothing.",,
rule_spend_credits,"1.10.3.c. To {term:spend} or {term:pay} credits, a player puts the specified number of credits back into the bank. By default, the credits must come from the player's credit pool. Abilities can also allow players to spend credits hosted on their cards under certain conditions. If any such abilities apply, the player chooses how to divide the credits they are spending from among the allowed locations. The terms ""spend"" and ""pay"" are synonymous.",,
rule_spend_credits-1-example,The Runner may use the credit from {card:Cyberfeeder} to pay for {card:Atman}'s first ability.,,
rule_spend_credits-2-example,The Runner may use credits from {card:Ghost Runner} when secretly spending credits to resolve a Psi ability (such as {card:The Future Perfect}).,,
rule_spend_credits-3-example,"The Runner must use credits from {card:Ghost Runner} if this is the only way for them to pay 3[c] when resolving the ""when encountered"" ability on {card:Tollbooth}.",,
rule_hosted_credits,"1.10.4. Abilities can place credits on cards, as discussed in {ref:sec_host}. Credits on a player's card are not in that player's credit pool; the player can only interact with those credits as instructed by card abilities.",,
rule_take_credits,"1.10.4.a. If a player is instructed to {term:take} credits from a card, they remove that many credits from that card and gain those credits.",,
rule_spend_hosted_credits,"1.10.4.b. If an ability specifies how a player is allowed to spend credits from a card, they can be spent from that card as if they were in the player's credit pool for the specified actions or abilities.",,
rule_spend_hosted_credits_during,"1.10.4.c. If an ability specifies a time period during which a player is allowed to spend credits from a card, they can be spent from that card as if they were in the player's credit pool for any purpose (other than losing credits) as long as the specified time period is active or the specified duration has not expired.",,
rule_hosted_credits_use,"1.10.4.d. Spending credits from a card is considered ""using"" the card that allowed those credits to be spent. See {ref:rule_using}.",,
rule_sec_recurring,1.10.5. Recurring Credits,,
rule_recurring_credits,"1.10.5.a. {term:Recurring Credits} ([recurring]) place credits on a card repeatedly. The text ""N[recurring]"" means ""When this card becomes active, place N credits on it. Before abilities meet their trigger conditions for your turn beginning, if there are fewer than N credits on this card, place credits on it until there are N credits on it.""",,
rule_placing_recurring_credits,"1.10.5.b. Recurring credits are first placed on a card as soon as it becomes active. This occurs at {ref:rule_steps_installing_become_installed} of installing the card if it is installed active, {ref:rule_steps_playing_active} of playing an event or operation, or as soon as the card is turned faceup or scored, as applicable.",,
rule_refill_recurring_credits,"1.10.5.c. Recurring credits are refilled during {ref:step_corp_turn_recurring_credits_refill} of the Corp's turn and {ref:step_runner_turn_recurring_credits_refill} of the Runner's turn, before other abilities that apply at the start of the turn resolve.",,
